word_count,sentence_count,avg_word_length,has_question,has_action_verb,has_decision,contains_date_or_deadline,keyword_density_action,keyword_density_stopword,ne_person,ne_date,ne_time,ne_email,positive_words,negative_words,speaker_same_as_prev,is_short_utterance,exclamation_count,caps_ratio,transcript_id,theme,speaker,text,label
11,3,5.545454545454546,0,0,0,0,0.0,0.18181818181818182,1,0,0,0,0,0,0,0,0,0.056338028169014086,1,Project Sprint Planning,Dave,Yeah Like I noticed that this morning. Someone should call maintenance.,0
16,2,3.9375,0,0,0,1,0.0,0.07142857142857142,0,0,0,0,0,0,0,0,0,0.02564102564102564,1,Project Sprint Planning,Bob,"Oh and by Like the way, the coffee machine on the third floor is broken again.",0
7,2,4.714285714285714,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.02564102564102564,1,Project Sprint Planning,Alice,"Haha, that's the third time this month.",0
11,2,4.454545454545454,0,1,0,0,0.18181818181818182,0.0,0,0,0,0,0,0,0,0,0,0.06779661016949153,1,Project Sprint Planning,Dave,Let's schedule a code review meeting for Wednesday at 3 PM.,1
5,2,5.2,1,0,0,0,0.0,0.2,0,0,0,0,0,0,0,0,0,0.03333333333333333,1,Project Sprint Planning,Alice,So how was everyone's weekend?,0
11,2,5.2727272727272725,0,0,0,0,0.0,0.09090909090909091,1,0,0,0,0,0,0,0,0,0.04411764705882353,1,Project Sprint Planning,Bob,"Pretty Like good, I watched that new movie everyone's talking about.",0
10,2,4.7,0,1,0,0,0.1,0.0,0,0,0,0,0,0,1,0,0,0.10714285714285714,1,Project Sprint Planning,Bob,Action I mean item: create the CI/CD pipeline this week.,1
6,2,4.166666666666667,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.03333333333333333,1,Project Sprint Planning,Dave,"Nice, where did you go hiking?",0
11,3,4.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.05555555555555555,1,Project Sprint Planning,Carol,"Oh yeah, I heard it was great. I went hiking actually.",0
11,2,4.363636363636363,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.05172413793103448,1,Project Sprint Planning,Dave,I will follow up with the DevOps team about server access.,1
11,2,4.636363636363637,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.03278688524590164,1,Project Sprint Planning,Alice,"The deadline for the client demo is April 1st, no extensions.",1
8,3,5.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0.0425531914893617,1,Project Sprint Planning,Alice,"That sounds lovely. Anyway, back to the sprint.",0
11,2,4.0,0,1,0,1,0.09090909090909091,0.0,1,1,0,0,0,0,1,0,0,0.1111111111111111,1,Project Sprint Planning,Alice,We need to finalize the API design by Friday March 15.,1
11,2,3.727272727272727,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0392156862745098,1,Project Sprint Planning,Bob,At least You know the one on the fifth floor works.,0
11,2,5.090909090909091,0,1,0,0,0.0,0.09090909090909091,1,1,0,0,0,0,0,0,0,0.10606060606060606,1,Project Sprint Planning,Carol,The deployment Actually to AWS should happen next Monday March 25.,1
13,2,4.3076923076923075,0,1,0,1,0.15384615384615385,0.0,0,0,0,0,0,0,0,0,0,0.04411764705882353,1,Project Sprint Planning,Bob,I will prepare the database schema and send it to Carol by Thursday.,1
8,2,4.625,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.06818181818181818,1,Project Sprint Planning,Carol,"Up at Mount Wilson, the weather was perfect.",0
11,2,4.181818181818182,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0.05357142857142857,1,Project Sprint Planning,Carol,We decided to use React for the frontend instead of Vue.,1
10,2,3.7,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.043478260869565216,2,Research Group Meeting,Frank,"Yeah, I think it's at noon in the common room.",0
11,2,4.2727272727272725,0,0,0,1,0.0,0.0,0,1,0,0,0,0,0,0,0,0.12280701754385964,2,Research Group Meeting,Eve,The I mean paper submission deadline for ICML is June 15.,1
10,2,5.3,0,1,0,1,0.1,0.0,0,0,0,0,0,0,0,0,0,0.016129032258064516,2,Research Group Meeting,Frank,I will complete the experimental results section by next week.,1
16,3,4.1875,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.024390243902439025,2,Research Group Meeting,Eve,"Haha, the power of pizza. Oh also, has anyone tried the new cafe near the library?",0
10,2,4.5,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.018518518518518517,2,Research Group Meeting,Hank,We decided to extend our dataset with the 2024 corpus.,1
8,2,4.625,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0.022727272727272728,2,Research Group Meeting,Hank,I prefer the one across the street honestly.,0
8,2,3.25,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.06060606060606061,2,Research Group Meeting,Grace,"Oh, in that case I might show up.",0
12,2,4.916666666666667,0,1,0,0,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0,1,0,0,0.02857142857142857,2,Research Group Meeting,Grace,We need Um to revise the literature review based on reviewer feedback.,1
9,2,5.0,0,0,0,0,0.0,0.1111111111111111,1,0,0,0,0,0,0,0,0,0.07547169811320754,2,Research Group Meeting,Eve,The collaboration with Um Stanford starts on May 1st.,1
9,2,4.444444444444445,0,0,0,0,0.0,0.0,0,0,0,0,1,0,1,0,0,0.10416666666666667,2,Research Group Meeting,Eve,Let's agree on using BERT as our baseline model.,1
9,2,5.0,0,0,0,0,0.0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0.03773584905660377,2,Research Group Meeting,Frank,"Yes, You know their espresso is actually really good.",0
